training_start_year,target,station,model,n,mae,rmse,r2,pearson_r,drought_threshold,drought_support,drought_precision,drought_recall,drought_f1,drought_balanced_accuracy,severe_threshold,severe_support,severe_precision,severe_recall,severe_f1,severe_balanced_accuracy
1951,spei6,Padaviya,ridge_ar24_met24,240,0.40913414002078086,0.5503238358219852,0.7257989821670959,0.8559351245739218,-1.0,47,0.9032258064516129,0.5957446808510638,0.7179487179487178,0.7901003197001433,-1.5,21,0.8666666666666667,0.6190476190476191,0.7222222222222222,0.8049575994781475
1951,spei6,Tissamaharama,ridge_ar24_met24,240,0.32124177712395946,0.43668629492073524,0.8199918759374498,0.9066356598469718,-1.0,46,0.8108108108108109,0.6521739130434783,0.7228915662650603,0.808045719408337,-1.5,15,0.8181818181818182,0.6,0.6923076923076923,0.7955555555555556
1971,spei3,Buttala,persistence,240,0.612967004564216,0.806808135129425,0.38000831785905254,0.6885063198107455,-1.0,49,0.5510204081632653,0.5510204081632653,0.5510204081632653,0.7179185810449834,-1.5,12,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6929824561403509
1971,spei3,Padaviya,persistence,240,0.6894102097546256,0.8997521706649555,0.2913116256573207,0.6452240621264512,-1.0,44,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.7634508348794062,-1.5,29,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.7254453342049354
1971,spei3,Tissamaharama,persistence,240,0.6111981459443174,0.8042648917549275,0.38417024297748725,0.6904125274644566,-1.0,52,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.693126022913257,-1.5,13,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.7153507285665877
1971,spei3,Buttala,ridge_ar24,240,0.5271314867067645,0.6609658736274048,0.5838945541190403,0.76720878997567,-1.0,49,0.88,0.4489795918367347,0.5945945945945946,0.7166363927770061,-1.5,12,0.6,0.25,0.35294117647058826,0.6206140350877193
1971,spei3,Padaviya,ridge_ar24,240,0.6275705375072128,0.8015252438855252,0.43760181275667,0.6694327515311258,-1.0,44,0.6571428571428571,0.5227272727272727,0.5822784810126581,0.7307513914656771,-1.5,29,0.6,0.20689655172413793,0.3076923076923077,0.593969602876287
1971,spei3,Tissamaharama,ridge_ar24,240,0.5135742377297382,0.6496758223774276,0.5981575084916467,0.7759983650175034,-1.0,52,1.0,0.4423076923076923,0.6133333333333333,0.7211538461538461,-1.5,13,0.6,0.23076923076923078,0.33333333333333337,0.610979329041003
1971,spei6,Buttala,persistence,240,0.42051228074544333,0.562806005119349,0.7022046218777556,0.8499142087547078,-1.0,45,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7948717948717949,-1.5,15,0.6,0.6,0.6,0.7866666666666666
1971,spei6,Padaviya,persistence,240,0.4866337866454876,0.6528981514645305,0.6140568888163567,0.8064270173838002,-1.0,47,0.7021276595744681,0.7021276595744681,0.7021276595744681,0.8147943997354206,-1.5,21,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8434442270058709
1971,spei6,Tissamaharama,persistence,240,0.41297358530924444,0.5573053573833915,0.706816572551812,0.8521874654342115,-1.0,46,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.8117436127297176,-1.5,15,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8222222222222222
1971,spei6,Buttala,ridge_ar24_met24,240,0.35869258687822947,0.4721533993053957,0.790411837933308,0.8920796602686398,-1.0,45,0.8823529411764706,0.6666666666666666,0.7594936708860759,0.823076923076923,-1.5,15,0.6923076923076923,0.6,0.6428571428571429,0.7911111111111111
1971,spei6,Padaviya,ridge_ar24_met24,240,0.4424977107250479,0.5787889736937141,0.6966996486894403,0.8387886633571517,-1.0,47,0.90625,0.6170212765957447,0.7341772151898734,0.8007386175724838,-1.5,21,0.8333333333333334,0.47619047619047616,0.6060606060606061,0.733529028049576
1971,spei6,Tissamaharama,ridge_ar24_met24,240,0.34538538164513855,0.4585575737027435,0.8015090440499858,0.8985617734651308,-1.0,46,0.8571428571428571,0.6521739130434783,0.7407407407407407,0.8132003585835947,-1.5,15,0.6923076923076923,0.6,0.6428571428571429,0.7911111111111111
