outer_fold,target,station,model,n,mae,rmse,r2,pearson_r,drought_threshold,drought_support,drought_precision,drought_recall,drought_f1,drought_balanced_accuracy,severe_threshold,severe_support,severe_precision,severe_recall,severe_f1,severe_balanced_accuracy
2015-01_2019-12,spei3,Padaviya,persistence,60,0.7210615962513318,0.9625321129024289,0.4362549670572917,0.7184754027765133,-1.0,13,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.8036006546644845,-1.5,12,0.75,0.75,0.75,0.84375
2015-01_2019-12,spei3,Tissamaharama,persistence,60,0.6441404341912663,0.8366275385731096,0.4276126714211874,0.7139655220511072,-1.0,8,0.375,0.375,0.375,0.6394230769230769,-1.5,2,0.5,0.5,0.5,0.7413793103448276
2015-01_2019-12,spei3,Buttala,ridge_ar24,60,0.4982027715540809,0.6327430304766568,0.686480869875343,0.8393334238416658,-1.0,10,1.0,0.4,0.5714285714285715,0.7,-1.5,3,0.5,0.3333333333333333,0.4,0.6578947368421052
2015-01_2019-12,spei3,Padaviya,ridge_ar24,60,0.6502943564487355,0.8246832974442072,0.586165522031735,0.7736483559070578,-1.0,13,0.75,0.46153846153846156,0.5714285714285714,0.70949263502455,-1.5,12,1.0,0.3333333333333333,0.5,0.6666666666666666
2015-01_2019-12,spei3,Tissamaharama,ridge_ar24,60,0.48759836424930547,0.6258129825808463,0.6797310499076527,0.8343505294106774,-1.0,8,1.0,0.5,0.6666666666666666,0.75,-1.5,2,0.0,0.0,,0.49137931034482757
2015-01_2019-12,spei6,Buttala,persistence,60,0.4136699578782112,0.56392331972997,0.7339054349500054,0.8659326364140606,-1.0,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.803921568627451,-1.5,4,0.5,0.5,0.5,0.7321428571428572
2015-01_2019-12,spei6,Padaviya,persistence,60,0.48895885581342596,0.6233102453110512,0.748839575561737,0.8737897794798836,-1.0,15,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8222222222222222,-1.5,10,0.8,0.8,0.8000000000000002,0.88
2015-01_2019-12,spei6,Tissamaharama,persistence,60,0.3993391600230954,0.5556441598180758,0.7263401812731624,0.8618780179064293,-1.0,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.803921568627451,-1.5,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6491228070175439
2015-01_2019-12,spei6,Buttala,ridge_ar24_met24,60,0.3207454615630418,0.42827031313626435,0.8465270511363626,0.9236687081252278,-1.0,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.934640522875817,-1.5,4,0.6666666666666666,0.5,0.5714285714285715,0.7410714285714286
2015-01_2019-12,spei6,Padaviya,ridge_ar24_met24,60,0.4166821012933932,0.5385351494224572,0.8125131613671395,0.9057768011644074,-1.0,15,0.9230769230769231,0.8,0.8571428571428571,0.8888888888888888,-1.5,10,1.0,0.8,0.888888888888889,0.9
2015-01_2019-12,spei6,Tissamaharama,ridge_ar24_met24,60,0.334251243002911,0.45493967536208907,0.8165468582533961,0.905555851653143,-1.0,9,0.8571428571428571,0.6666666666666666,0.75,0.8235294117647058,-1.5,3,0.5,0.3333333333333333,0.4,0.6578947368421052
