"date","cloud_cover","mean_prep","pot_evap","mean_tmp","max_tmp","min_tmp","diurnal_tmp_range","vapour_pressure","wet_day_frq","PET","spei1","spei_ 3","spei_ 6","spei_ 9","spei_ 12"
2004-06-16,68.1,49.3,4.2,27.7,30.5,25,5.5,29.3,5.87,107.419198692415,-0.165192435376684,0.838584956316896,-0.548793219015475,-0.868937098073639,-0.816645063459391
2004-07-16,72.5,41.1,4.3,27.9,30.9,24.9,6,28.5,6.18,117.310281486912,-0.0925106597834322,0.864601104376668,0.0536264745256993,-0.654893742310425,-0.956995786451645
2004-08-16,58.6,65.4,4.7,28.1,31,25.2,5.8,29.1,8.18,118.981228324031,0.105060728477864,-0.331699781580662,0.0225930037208163,-1.45587316352518,-0.855063225595724
2004-09-16,73.3,164.3,4,26.9,29.8,24,5.8,27.7,12.61,112.873145070638,1.55003443621937,1.02435465954805,1.22469336722421,0.101191037688868,-0.379037896772376
2004-10-16,70.5,213.1,3.8,26.9,30.1,23.8,6.3,28.1,13.83,117.450966448875,0.919256406912431,1.41289036615982,1.53798827960806,1.00649216416634,0.209912011220139
2004-11-16,65.3,207.5,3.6,26.7,30,23.4,6.6,28.1,14.16,109.218062569582,-0.116487733180731,1.12199065992272,0.906107388866105,0.89355321641899,-0.518324647596804
2004-12-16,60.1,189.4,3.7,26.4,29.7,23.2,6.5,27.3,10.9,107.679827407494,0.564109408916602,0.598204668483796,0.970649263480993,1.17945423425924,0.511123538645888
2005-01-16,51.7,105.9,4.4,26.7,30.4,23.1,7.3,26.3,5.62,117.606531757245,0.216660493196923,0.301470302195334,1.03068262531459,1.19674700346775,0.90867322543018
2005-02-15,45.9,19.2,4.8,27.3,31.2,23.5,7.7,27.4,4.7,118.706532719385,-1.14122260670689,0.0308161969974664,0.77971247541845,0.635255362376279,0.665179738257867
2005-03-16,51.7,55.4,4.6,28.2,32,24.4,7.6,29.4,5.52,138.181622656223,-0.484335199638258,-0.592949747959621,0.110333314787102,0.534744986535483,0.756555677602329
2005-04-16,57.3,118,4.2,27.7,31.1,24.3,6.8,29.4,9.75,125.586191614361,0.220193911122982,-0.795079799695937,-0.221912552939075,0.59494646519848,0.811806631723868
2005-05-16,70.2,72.8,4.1,28.4,31.3,25.6,5.7,30.9,8.27,117.422285392249,-0.296188440014935,-0.488872005019123,-0.277356704997561,0.485378428988595,0.380997075595765
2005-06-16,75.3,22,4.1,28.2,31,25.5,5.5,29.9,6.36,108.598333694527,-1.4279293738002,-0.626228789867254,-1.00378096841504,-0.234608578440632,0.227491275757757
2005-07-16,72.7,51.5,4.3,27.9,30.9,24.9,6,28.3,7.87,117.310281486912,0.263030934426966,-0.792386904868055,-1.18049128832442,-0.581601609963244,0.26395803601823
2005-08-16,55.9,26.7,4.8,28.1,31,25.2,5.8,28.9,7.3,118.981228324031,-1.20790264000347,-1.3856921072558,-1.18832095623975,-0.812012323369568,0.0699883416212654
2005-09-16,72.8,31.2,4.1,27.6,30.5,24.7,5.8,29,8.69,114.640733472191,-1.19063999932787,-1.31194790946483,-1.36179920335272,-1.47258388462607,-0.649182962804922
2005-10-16,70.2,163.2,3.8,27.3,30.5,24.2,6.3,28.9,12.05,118.500807489759,0.0579200903141262,-1.05794512738691,-1.47784930740246,-1.54052667580419,-1.0002618547214
2005-11-16,66,393.6,3.5,26.2,29.5,22.9,6.6,27.3,14.31,107.990893327227,2.03013493904574,1.13156174907891,0.515391881363383,0.121657109721499,0.0901522491494811
2005-12-16,49.1,147.1,4,26.4,29.7,23.2,6.5,27.3,10.4,107.679827407494,0.0209059507381014,1.14535281401203,0.603494534279411,0.198776647652061,-0.203931408035172
2006-01-16,52,143,4.3,25.9,29.6,22.3,7.3,25.1,6.08,115.494629952401,0.819457013285437,1.51340515331574,0.835064405912518,0.439716503013187,0.0459762208283048
2006-02-15,46.3,62.9,4.6,26.7,30.6,22.9,7.7,26.6,4.7,117.129037267965,0.113246484998459,0.406228618998502,0.998087055946203,0.56656323553284,0.289971413659094
2006-03-16,48.8,121.1,4.7,27.8,31.6,24,7.6,28.7,6.21,136.980043328777,0.983761284310105,0.864999870981661,1.37928102426653,0.923374728325986,0.599927518791956
2006-04-16,57.2,68.1,4.3,28.4,31.8,25,6.8,30.6,9.8,127.518286869967,-0.994274175193828,-0.0194944188257017,1.2479881538653,0.692904856821814,0.364434786034617
2006-05-16,70.7,47.8,4,28.1,31,25.3,5.7,30.6,7.86,116.66062732484,-0.861376322950318,-0.612200322426173,-0.0375837337475577,0.655240004848442,0.270135170974331
2006-06-16,61.8,42.6,4.4,28.2,31,25.5,5.5,30.1,6.36,108.598333694527,-0.49498934892837,-1.34744176163053,-0.168876346396248,0.813854017317564,0.362381441784854
2006-07-16,72.7,21.2,4.3,28.2,31.2,25.2,6,29.1,6.18,118.080370862099,-0.953513170952304,-1.3308576025139,-0.937342967835221,0.687679209702037,0.190296544326281
2006-08-16,62.4,93.8,4.5,27.6,30.5,24.7,5.8,28.1,7.74,117.685136512222,0.855854968314978,-0.309997271845201,-0.691146690639518,-0.19263731426321,0.52907444254239
2006-09-16,73.6,163,4,27.4,30.3,24.5,5.8,28.7,9.77,114.135708214604,1.52359526996735,1.09193401266544,-0.211285458171846,0.451234738494586,1.08761740601119
2006-10-16,70.7,259.6,3.8,27.2,30.4,24.1,6.3,28.4,12.78,118.238347229538,1.56820744854926,1.84301997438046,1.0956509076985,0.835322447231401,1.4971551189651
2006-11-16,65.6,347.1,3.6,27,30.3,23.7,6.6,28.4,17.77,109.954364114995,1.60804229835159,2.01460828730714,1.85037977055315,1.52291875821926,1.37214105613193
2006-12-16,74.1,213.3,3.5,26.8,30.1,23.6,6.5,28,10.15,108.65320437841,0.810294350756199,1.66288759498008,1.79684753416875,1.36754175935908,1.65298458320029
2007-01-16,51.3,185.7,4.4,26.6,30.3,23,7.3,26.2,5.62,117.34254403164,1.32063003526704,1.78923853153404,2.10570810253484,1.80915368717243,1.75902392428672
2007-02-15,46.3,17.9,4.7,26.9,30.8,23.1,7.7,26.9,3.2,117.654869085105,-1.14850890768254,0.874147036916879,1.91874914910764,1.7924390662713,1.58748795065105
2007-03-16,34.2,32.2,5,27.6,31.4,23.8,7.6,28.3,5.52,136.379253665055,-1.06066181686913,0.0219803420451528,1.46310383084683,1.6295768873016,1.19627511270597
2007-04-16,56.9,178.7,4.3,28,31.4,24.6,6.8,29.7,9.47,126.414232438192,1.34854972763206,-0.304145306298306,1.41663220223044,1.92345225700641,1.58759098124632
2007-05-16,69.8,36,4.1,28.5,31.4,25.7,5.7,30.9,8.67,117.676171414719,-1.16823875770736,-0.469692065456354,0.449811265021021,1.65312810274493,1.52546404553255
2007-06-16,71.4,46.8,4.1,27.8,30.6,25.1,5.5,29.5,6.59,107.655025692837,-0.277300331639048,0.0251447709507249,-0.0705597607615085,1.3921562035362,1.54834935443935
2007-07-16,73,49.7,4.3,27.8,30.8,24.8,6,28.2,7.15,117.053585028516,0.213545829041812,-0.993857122594572,-0.939916131758843,0.994508378177619,1.63537753564985
2007-08-16,67.1,155.8,4.3,27.5,30.4,24.6,5.8,28.3,9.06,117.425918149861,1.82530557685216,1.26728735345205,0.435858927876972,0.851066996395579,1.81134037065698
2007-09-16,73.6,90.9,4,27.2,30.1,24.3,5.8,28.5,8.69,113.630682957018,0.468608418123909,1.28985998837878,0.926804210570669,0.660680077860854,1.58739318719533
2007-10-16,70.6,129.5,3.8,27.1,30.3,24,6.3,28.3,12.54,117.975886969317,-0.530240989525636,0.891078266085755,0.14252878122289,-0.195016450022436,1.19961261872144
